address,bathrooms,bedrooms,parking,landArea,price,primaryPropertyType,propertyFeatures,state,suburb,postcode
"Lot 1027 Shelterbelt Ave, Weir Views VIC 3338",2,4,2,499,"$777,700",House,0,VIC,Weir Views,3338
"10 Bridleway Walk, Parkville VIC 3052",2,4,2,104,"$2,200,000 - $2,420,000",Townhouse/Villa,"Garden / Courtyard, Terrace/Paved, Barbecue, Outdoor entertainment area",VIC,Parkville,3052
"203/1 Moola Court, Cheltenham VIC 3192",2,3,2,,"$1,060,000",Apartment,"Balcony, Built In Robes, Dishwasher, Floorboards, Intercom, Outdoor Ent., Secure Parking, Split System Heating, Split-system Air-conditioning",VIC,Cheltenham,3192
"5007/1 Queensbridge Square, Southbank VIC 3006",1,1,1,,,Apartment,"Air conditioning, Built in wardrobes, Secure Parking, Swimming Pool",VIC,Southbank,3006
"UNIT 1/80 BEAUCHAMP STREET, Kyneton VIC 3444",1,2,1,261,"$470,000",Apartment,"Fully Fenced, Gas Heating, Courtyard, Reverse Cycle Air Conditioning, Built In Robes",VIC,Kyneton,3444
"UNIT 3/155 FITZROY STREET, St Kilda VIC 3182",1,2,1,,Expressions of Interest Closing Friday 2nd August,Apartment,"Reverse Cycle Air Conditioning, Study, Dishwasher, Built In Robes, Secure Parking, Floor Boards",VIC,St Kilda,3182
"Lot 1004 Shelterbelt Ave, Weir Views VIC 3338",2,4,1,314,"$585,700",House,0,VIC,Weir Views,3338
"Lot 1009 Shallow Rd, Weir Views VIC 3338",2,4,2,416,"$699,950",House,0,VIC,Weir Views,3338
"6 Higgins Hill Drive, Maiden Gully VIC 3551",2,4,2,1500,"From $913,341",House,"Alfresco, Butler's Pantry, Dining, Ensuite, Family, Laundry, Lounge, Portico, Powder Room, Rumpus, Walk-in Robe, Double Glazed Windows & Doors, 2550 Ceiling Height, Floorcoverings, Refrigerated Heating & Cooling, Lighting Package, Site Allowance",VIC,Maiden Gully,3551
"Lot 1022 Cone Way, Weir Views VIC 3338",2,3,2,400,"$663,280",House,0,VIC,Weir Views,3338
"Lot 1029 Shelterbelt Ave, Weir Views VIC 3338",2,4,2,400,"$724,500",House,0,VIC,Weir Views,3338
"22 Booker Place, Armstrong Creek VIC 3217",2,4,2,,"$759,000 - $799,000",House,,VIC,Armstrong Creek,3217
"20A Curzon Street, West Melbourne VIC 3003",1,1,1,,"Private Sale $695,000",Apartment,,VIC,West Melbourne,3003
"Lot 2818 Evergreen Estate, Clyde VIC 3978",2,4,2,313,"$660,000",House,"Ensuite, Built in wardrobes, Secure Parking",VIC,Clyde,3978
"Lot 2842 Evergreen Estate, Clyde VIC 3978",2,4,2,350,"$712,000",House,"Ensuite, Built in wardrobes, Secure Parking, BRAND NEW DESIGN HOT OFF THE PRESS!",VIC,Clyde,3978
"150 Peel Street, Windsor VIC 3181",2,3,0,164,"$1,600,000 - $1,750,000",House,"Fireplace(s), Entertainment Area, Garden Shed, Air Conditioning, Gas Enabled, Polished Timber Floors, Broadband, Dishwasher, Balcony, Courtyard, Fully Fenced",VIC,Windsor,3181
"LOT 137 NOIR ROAD, Wollert VIC 3750",2,4,2,392,,House,"Ensuite, Built in wardrobes, Secure Parking, SAVE $$$ ON STAMP DUTY!!!",VIC,Wollert,3750
"Lot 244 Heartford Estate, Donnybrook VIC 3064",2,4,2,350,"$632,000",House,"Ensuite, Built in wardrobes, Secure Parking, BRAND NEW DESIGN HOT OFF THE PRESS!",VIC,Donnybrook,3064
"LOT 403 TEAGREEN STREET, Wollert VIC 3750",2,4,2,294,,House,Ensuite,VIC,Wollert,3750
"30 Cranesbill Lane, Mickleham VIC 3064",6,6,10,10926.512334,Taking Offers Now,House,Ensuite,VIC,Mickleham,3064
"16 Pavo Street, Belmont VIC 3216",1,3,2,676,,House,,VIC,Belmont,3216
"101/276 Neerim Road, Carnegie VIC 3163",2,2,1,,,Apartment,,VIC,Carnegie,3163
"519/199 William Street, Melbourne VIC 3000",1,2,0,,,Apartment,,VIC,Melbourne,3000
"UNIT 10/400 MURRAY ROAD, Preston VIC 3072",1,2,1,,"$430,000 - $470,000",Apartment,"Dishwasher, Built In Robes, Broadband Connection",VIC,Preston,3072
Ashburton VIC 3147,3,4,2,270,"$2160,000 -2,180,000",House,"Courtyard, Deck, Fully Fenced, Outdoor Entertainment Area, Remote Garage, Secure Parking, Broadband Internet Available, Built-in Wardrobes, Dishwasher, Floorboards, Intercom, Pay TV Access, Air Conditioning, Split-System Air Conditioning, Split-System Heating, Ensuite",VIC,Ashburton,3147
"LOT  30919 COWAL STREET (TITLED LAND READY TO BUILD), Truganina VIC 3029",2,4,2,350,,House,"Ensuite, Built in wardrobes, Secure Parking, BE IMPRESSED!!!",VIC,Truganina,3029
"LOT  2026 TYARON STREET, Tarneit VIC 3029",2,5,2,350,,House,Ensuite,VIC,Tarneit,3029
"LOT 1703 KINGSFIELD ESTATE, Sunbury VIC 3429",2,4,2,350,"$625,000",House,"Ensuite, Built in wardrobes, Secure Parking",VIC,Sunbury,3429
Bulleen VIC 3105,3,4,2,200,"$1340,000 - $1345,000",House,"Courtyard, Deck, Fully Fenced, Outdoor Entertainment Area, Remote Garage, Secure Parking, Broadband Internet Available, Built-in Wardrobes, Dishwasher, Floorboards, Intercom, Pay TV Access, Study, Air Conditioning, Split-System Air Conditioning, Split-System Heating, Solar Panels, Ensuite",VIC,Bulleen,3105
"209/1 Flynn Close, Bundoora VIC 3083",1,2,1,,"$420,000 to $460,000",Apartment,"Balcony, Secure Parking, Built-in Wardrobes, Dishwasher, Split-System Air Conditioning",VIC,Bundoora,3083
"UNIT 1301/8 JOSEPH ROAD, Footscray VIC 3011",2,2,1,,"$650,000",Apartment,"Intercom, Outdoor Entertainment Area, Remote Control Garage, Alarm, Above ground Spa, Gym, Reverse Cycle Air Conditioning, A/C, Balcony, Dishwasher, Above ground Pool, Built In Robes, Solar Hot Water, Secure Parking, Water Tank, Floor Boards, Broadband Connection",VIC,Footscray,3011
"Lot 246 Annual Avenue (Mapple Grove Estate), Pakenham VIC 3810",2,4,2,400,"$789,000",House,"Ensuite, Built in wardrobes, Secure Parking",VIC,Pakenham,3810
"262 Midland Highway, Epsom VIC 3551",2,4,3,6848,"$1,200,000 - $1,300,000",House,"Ducted Heating, Evaporative Cooling, Kitchen, Built In Robes, Dishwasher, Outdoor Entertaining Area, Shed, Swimming Pool, Insulation, Laundry, Gas Hot Water",VIC,Epsom,3551
"2/12 Woodside Crescent, Toorak VIC 3142",2,3,1,,Auction Saturday 6 July at 12pm,Townhouse/Villa,,VIC,Toorak,3142
"27 Brossard Road, Mickleham VIC 3064",2,3,2,,"$580,000 - $620,000",House,,VIC,Mickleham,3064
"Lot 3048 Platoon Crescent, Berwick VIC 3806",2,4,2,281,,House,"Ensuite(s), Ensuite, Floorboards, Built in wardrobes, Pets allowed, Gas, Bath, Broadband internet access, Heating, Study, Double glazed windows, Wall / ceiling insulation, Secure Parking",VIC,Berwick,3806
"LOT  2232 BURGESS ROAD, Tarneit VIC 3029",2,4,2,350,,House,"Ensuite, Built in wardrobes, Secure Parking, BE IMPRESSED!!!",VIC,Tarneit,3029
"1317 Vicosa Drive, Armstrong Creek VIC 3217",2,4,2,3264,"From $1,588,119",House,"Alfresco, Dining, Ensuite, Family, Games, Laundry, Porch, Study, Walk-in Linen, Walk-in Pantry, Walk-in Robe, Provisional site costs, Floor Coverings & (Carpets & Vinyl Planks), Exposed Agg Finish driveway and under the front Porch & Verandah",VIC,Armstrong Creek,3217
